State_proved,Mean_time,Mean_profit
"[25, 9]",0.22010397911071777,80.25
"[25, 10]",0.2054128646850586,77.0
"[30, 1]",2.10445636510849,82.5
"[30, 2]",1.0415266156196594,81.0
"[30, 3]",0.6743273138999939,83.0
"[30, 4]",0.5118280053138733,83.25
"[30, 5]",0.4077851176261902,78.25
"[30, 6]",0.3458627462387085,82.75
"[30, 7]",0.2876594066619873,81.5
"[30, 8]",0.25451964139938354,81.75
"[30, 9]",0.21812564134597778,80.25
"[30, 10]",0.20254242420196533,78.25
"[35, 1]",2.058282792568207,83.25
"[35, 2]",1.0004320740699768,83.0
"[35, 3]",0.6552476286888123,82.5
"[35, 4]",0.5377982258796692,82.25
"[35, 5]",0.4109134078025818,79.75
"[35, 6]",0.3353199362754822,80.25
"[35, 7]",0.30665338039398193,81.75
"[35, 8]",0.2803824543952942,81.25
"[35, 9]",0.2222362756729126,75.25
"[35, 10]",0.22092527151107788,81.25
"[40, 1]",2.110483467578888,83.25
"[40, 2]",1.0040118098258972,83.0
"[40, 3]",0.6655647158622742,80.75
"[40, 4]",0.49863970279693604,82.75
"[40, 5]",0.40130889415740967,78.0
"[40, 6]",0.34131431579589844,82.25
"[40, 7]",0.28384876251220703,79.25
"[40, 8]",0.24919480085372925,80.0
"[40, 9]",0.23483484983444214,80.75
"[40, 10]",0.21084308624267578,77.5
"[45, 1]",2.0352728962898254,83.25
"[45, 2]",0.9827420115470886,82.75
"[45, 3]",0.660403311252594,82.25
"[45, 4]",0.49015235900878906,81.75
"[45, 5]",0.39154016971588135,79.25
"[45, 6]",0.3242272734642029,81.5
"[45, 7]",0.2834620475769043,80.5
"[45, 8]",0.24834591150283813,81.75
"[45, 9]",0.2140081524848938,82.25
"[45, 10]",0.19443649053573608,79.0
"[50, 1]",2.0122125148773193,83.25
"[50, 2]",0.9793506264686584,82.5
"[50, 3]",0.6527341604232788,82.75
"[50, 4]",0.4871421456336975,81.5
"[50, 5]",0.39070069789886475,82.5
"[50, 6]",0.3278493285179138,81.75
"[50, 7]",0.2815554738044739,81.25
"[50, 8]",0.2451331615447998,76.0
"[50, 9]",0.21723854541778564,79.0
"[50, 10]",0.19369447231292725,79.75
"[55, 1]",2.011762857437134,83.25
"[55, 2]",1.0011341571807861,82.75
"[55, 3]",0.6635720729827881,82.0
"[55, 4]",0.4887778162956238,80.75
"[55, 5]",0.3941205143928528,79.75
"[55, 6]",0.33453625440597534,79.0
"[55, 7]",0.2851455807685852,78.0
"[55, 8]",0.25114327669143677,78.75
"[55, 9]",0.22668933868408203,81.0
"[55, 10]",0.20478403568267822,78.25
"[60, 1]",2.0314703583717346,83.25
"[60, 2]",0.9922648072242737,82.5
"[60, 3]",0.6508331894874573,80.5
"[60, 4]",0.4894230365753174,82.0
"[60, 5]",0.39865225553512573,81.75
"[60, 6]",0.3281506896018982,81.0
"[60, 7]",0.27824902534484863,81.5
"[60, 8]",0.2506293058395386,77.75
"[60, 9]",0.22877109050750732,78.0
"[60, 10]",0.19822019338607788,81.0
"[65, 1]",2.1110134720802307,83.25
"[65, 2]",1.0413427948951721,82.5
"[65, 3]",0.6858054399490356,83.25
"[65, 4]",0.49585193395614624,82.0
