State_proved,Mean_time,Mean_profit
"[20, 4000, 500]",1.4237060546875,95.0
"[20, 4000, 750]",2.0882091522216797,95.0
"[20, 5000, 0]",0.0034922361373901367,92.0
"[20, 5000, 250]",0.6925718784332275,93.5
"[20, 5000, 500]",1.3767564296722412,94.0
"[20, 5000, 750]",2.0873897075653076,95.0
"[20, 6000, 0]",0.003246307373046875,92.0
"[20, 6000, 250]",0.6897662878036499,92.0
"[20, 6000, 500]",1.3854687213897705,95.0
"[20, 6000, 750]",2.0840749740600586,95.0
"[20, 7000, 0]",0.003265976905822754,92.0
"[20, 7000, 250]",0.6859900951385498,90.0
"[20, 7000, 500]",1.3644880056381226,95.0
"[20, 7000, 750]",2.0713164806365967,95.0
"[20, 8000, 0]",0.003772735595703125,92.0
"[20, 8000, 250]",0.6981873512268066,93.0
"[20, 8000, 500]",1.3690840005874634,95.0
"[20, 8000, 750]",2.1057592630386353,95.0
"[20, 9000, 0]",0.0028454065322875977,92.0
"[20, 9000, 250]",0.6814666986465454,93.5
"[20, 9000, 500]",1.3833860158920288,95.0
"[20, 9000, 750]",2.0834100246429443,94.0
"[20, 10000, 0]",0.0042639970779418945,92.0
"[20, 10000, 250]",0.701047420501709,95.0
"[20, 10000, 500]",1.3659274578094482,94.0
"[20, 10000, 750]",2.0798254013061523,95.0
"[30, 0, 0]",0.0035047531127929688,92.0
"[30, 0, 250]",0.6811920404434204,56.0
"[30, 0, 500]",1.4231911897659302,31.5
"[30, 0, 750]",2.19084095954895,47.5
"[30, 1000, 0]",0.003119945526123047,92.0
"[30, 1000, 250]",0.6796276569366455,93.5
"[30, 1000, 500]",1.3978246450424194,93.5
"[30, 1000, 750]",2.1111522912979126,94.0
"[30, 2000, 0]",0.0032726526260375977,92.0
"[30, 2000, 250]",0.6935179233551025,92.5
"[30, 2000, 500]",1.3875272274017334,95.0
"[30, 2000, 750]",2.112311601638794,95.0
"[30, 3000, 0]",0.0030078887939453125,92.0
"[30, 3000, 250]",0.6787697076797485,93.0
"[30, 3000, 500]",1.3997987508773804,95.0
"[30, 3000, 750]",2.105109453201294,94.0
"[30, 4000, 0]",0.0035670995712280273,92.0
"[30, 4000, 250]",0.6876866817474365,95.0
"[30, 4000, 500]",1.363321304321289,93.5
"[30, 4000, 750]",2.1024566888809204,95.0
"[30, 5000, 0]",0.0035725831985473633,92.0
"[30, 5000, 250]",0.7345086336135864,93.0
"[30, 5000, 500]",1.4626471996307373,95.0
"[30, 5000, 750]",2.1016193628311157,95.0
"[30, 6000, 0]",0.0032558441162109375,92.0
"[30, 6000, 250]",0.6781994104385376,94.0
"[30, 6000, 500]",1.3738378286361694,94.0
"[30, 6000, 750]",2.1048734188079834,94.0
"[30, 7000, 0]",0.003244757652282715,92.0
"[30, 7000, 250]",0.7166730165481567,93.5
"[30, 7000, 500]",1.3748509883880615,95.0
"[30, 7000, 750]",2.117220640182495,94.0
"[30, 8000, 0]",0.003228306770324707,92.0
"[30, 8000, 250]",0.67464280128479,87.5
